Date,Up
12/7/2017,-272.988
12/8/2017,-270.302
12/9/2017,-267.293
12/10/2017,-266.037
12/11/2017,-271.416
12/12/2017,-268.701
12/13/2017,-278.044
12/14/2017,-269.146
12/15/2017,-273.673
12/16/2017,-267.551
12/17/2017,-267.63
12/18/2017,-276.173
12/19/2017,-279.048
12/20/2017,-273.787
12/21/2017,-273.619
12/22/2017,-270.856
12/23/2017,-271.909
12/24/2017,-274.937
12/25/2017,-272.03
12/26/2017,-277.775
12/27/2017,-275.343
12/28/2017,-277.612
12/29/2017,-277.536
12/30/2017,-269.077
12/31/2017,-274.458
1/1/2018,-267.973
1/2/2018,-274.774
1/3/2018,-270.463
1/4/2018,-275.567
1/5/2018,-275.417
1/6/2018,-278.219
1/7/2018,-277.985
1/8/2018,-276.105
1/9/2018,-278.002
1/10/2018,-274.708
1/11/2018,-281.288
1/12/2018,-280.405
1/13/2018,-274.934
1/14/2018,-272.921
1/15/2018,-276.443
1/16/2018,-274.338
1/17/2018,-283.283
1/18/2018,-282.523
1/19/2018,-278.366
1/20/2018,-282.216
1/21/2018,-276.652
1/22/2018,-282.149
1/23/2018,-283.219
1/24/2018,-275.152
1/25/2018,-287.713
1/26/2018,-280.209
1/27/2018,-282.526
1/28/2018,-285.788
1/29/2018,-283.911
1/30/2018,-283.12
1/31/2018,-291.22
2/1/2018,-293.66
2/2/2018,-293.883
2/3/2018,-290.689
2/4/2018,-288.974
2/5/2018,-288.526
2/6/2018,-290.388
2/7/2018,-287.997
2/8/2018,-286.678
2/9/2018,-285.599
2/10/2018,-293.341
2/11/2018,-294.356
2/12/2018,-292.736
2/13/2018,-292.286
2/14/2018,-294.794
2/15/2018,-292.795
2/16/2018,-295.37
2/17/2018,-290.005
2/18/2018,-288.189
2/19/2018,-292.218
2/20/2018,-295.18
2/21/2018,-293.512
2/22/2018,-285.895
2/23/2018,-289.657
2/24/2018,-290.616
2/25/2018,-293.876
2/26/2018,-291.48
2/27/2018,-296.066
2/28/2018,-294.166
3/1/2018,-292.341
3/2/2018,-288.221
3/3/2018,-292.974
3/4/2018,-292.629
3/5/2018,-295.408
3/6/2018,-296.918
3/7/2018,-300.696
3/8/2018,-299.663
3/9/2018,-297.853
3/10/2018,-298.233
3/11/2018,-304.873
3/12/2018,-296.761
3/13/2018,-301.376
3/14/2018,-305.562
3/15/2018,-297.901
3/16/2018,-301.58
3/17/2018,-298.694
3/18/2018,-300.687
3/19/2018,-303.187
3/20/2018,-301.697
3/21/2018,-289.673
3/22/2018,-306.831
3/23/2018,-300.542
3/24/2018,-304.365
3/25/2018,-302.355
3/26/2018,-301.989
3/27/2018,-301.273
3/28/2018,-302.35
3/29/2018,-290.546
3/30/2018,-299.647
3/31/2018,-309.532
4/1/2018,-305.04
4/2/2018,-303.372
4/3/2018,-302.265
4/4/2018,-290.573
4/5/2018,-305.001
